car,body,Front-bumper,3000,12000,yes
car,body,Back-bumper,2800,11000,yes
car,body,Hood,3500,18000,yes
car,body,Trunk,3000,16000,yes
car,body,Front-door,4000,22000,yes
car,body,Back-door,3800,20000,yes
car,body,Fender,2500,9000,yes
car,body,Roof,5000,30000,yes
car,body,Quarter-panel,4500,25000,yes
car,body,Rocker-panel,2000,8000,yes
car,body,Grille,1200,5000,yes
car,body,License-plate,500,1500,yes
car,wheels,Front-wheel,8000,35000,yes
car,wheels,Back-wheel,8000,35000,yes
car,glass,Windshield,2000,15000,yes
car,glass,Back-windshield,1800,12000,yes
car,glass,Front-window,1200,6000,yes
car,glass,Back-window,1100,5500,yes
car,electrical,Headlight,1500,8000,yes
car,electrical,Tail-light,1200,6000,yes
car,electrical,Mirror,800,4500,yes
car,electrical,ecu_module,6000,45000,yes
car,electrical,instrument_cluster,3500,18000,no
car,electrical,infotainment_system,4000,30000,no
car,electrical,sensor_pack,2500,12000,no
car,electrical,wiring_harness,3000,20000,yes
car,engine,engine_block,15000,250000,yes
car,engine,cylinder_head,8000,90000,yes
car,engine,piston_set,6000,45000,yes
car,engine,crankshaft,7000,60000,yes
car,engine,radiator,4000,18000,yes
car,engine,intercooler,3500,16000,no
car,engine,turbocharger,6000,85000,yes
car,engine,oil_pump,2500,12000,no
car,engine,water_pump,2200,10000,no
car,engine,gearbox_manual,8000,120000,yes
car,engine,gearbox_automatic,10000,250000,yes
car,engine,clutch_assembly,3500,25000,no
car,engine,flywheel,3000,18000,no
car,suspension,shock_absorber_front,2500,12000,no
car,suspension,shock_absorber_rear,2300,11000,no
car,suspension,coil_spring,2000,9000,no
car,suspension,control_arm,1800,8000,no
car,suspension,axle_front,3500,20000,yes
car,suspension,axle_rear,3500,20000,yes
car,steering,steering_rack,4500,35000,yes
car,brakes,brake_disc_front,1500,7000,no
car,brakes,brake_disc_rear,1400,6500,no
car,brakes,brake_caliper,1600,9000,no
car,brakes,abs_module,5000,40000,yes
car,fuel,fuel_tank,3000,20000,yes
car,fuel,fuel_pump,2000,12000,no
car,exhaust,exhaust_pipe,1800,10000,no
car,exhaust,catalytic_converter,3500,45000,yes
car,air,air_filter_box,800,4000,no
